Название точки,Ссылка,Отзыв,Оценка
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Была с ребенком (1,5 года) в клинике год назад, но до сих пор не могу успокоиться. Зашли на прием к Болдыреву ВГ и он с порога начал сыпать диагнозами: дцп, аутизм. Первое желание было развернуться и уйти, но потом решила перебороть себя и остаться, ведь мы ехали с ребенком из другого города 5 часов, стоимость приема 10 000 рублей!!!!! Сделал узи, сказал что у ребенка гидроцефалия, что он максимально плох и нужно срочно лечить. Прописал таблетки и настоятельно рекомендовал приехать в Москву для курса в барокамере в его центре (50 тр -курс). Мы не поехали, но обследование провели: никакой гидроцефалии у него нет!!! И дцп тоже нет, спустя год это уже можно утверждать. А аутизм в 1,5 не диагностируется. Вообщем если вам дорог ребенок -не ведитесь на пафос клиники, это мыльный пузырь, люди делают деньги на чужом горе! ещё",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"В наше время очень сложно найти знающего, опытного доктора. Когда стоит задача найти для ребёнка, это ещё сложнее. Нам очень повезло мы нашли такого доктора. Владимир Геннадьевич, спасибо Вам, за нашу дочку Машеньку, за наши успехи!!! Благодаря мендикоментозному лечению устраняем последствия перинатального поражения центральной нервной системы. А кислородотерапия и ТМС очень помогли нам с задержкой речи. Буквально после второй процедуры дочка стала больше и лучше говорить. По окончанию курса виден колоссальный результат. Мы в надёжных руках. Спасибо большое Всем сотрудникам цента за терпение, внимательное и трепетное отношение к пациентам!!!! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"К сожалению проездили почти два года,но как оказалось по обследованию в других клиниках той же Москвы,ребёнку противопоказаны были стимуляции магнитами....и ЭЭГ в течении 15 минут это ни о чем...делали от двух часов в других клиниках и во сне и без и не за такие баснословные суммы,как заламывают здесь.Лечение тоже другими врачами названо не особо эффективным...К сожалению только финансовая часть скорее всего интересует специалистов. ещё",2.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень хороший центр по профилю неврологии. Доктора заслуживающие уважение .Подробные, аргументированные рекомендации и назначения. Отличная работа группы администрирования. Процедуры проводятся хорошими специалистами.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Наблюдаемся 1.5 года. Может у нас случай тяжёлый, но сдвигов никаких, молчит, гиперактивный, проблемы со сном, поведением. Также была сделана определённая диагностика, по которой показало большую проблему. В итоге мы пошли в два других центра перепровериться, как оказалось все у нас хорошо, зря нервничали, так и денег просто так заплатили. Отговаривал делать инвалидность, МРТ. Читаю положительные отзывы, неужели всем помогает, кроме нас? Дополняю отзыв. После проведённой вами диагностики, было озвучено, что он плохо слышит, и скорее всего нужен слуховой аппарат и бегом нужно к сурдологу. После проверки слуха, не было выявлено никаких нарушений. Таким образом потратили нервы и деньги на сурдолога, когда каждая копейка на счету, впустую. А по поводу инвалидности, никто не говорит, что она поможет в развитии. Но смысл был настойчиво отговаривать, когда это и льготы, и раз в год реабилитация на море и материальная помощь. Я в курсе, что инвалидность предполагает, еще и некоторые ограничения во взрослом возрасте. Уже поинтересовались. Я написала отзыв, что нам не помогли. Наблюдались только у вас и никаких изменений не было. Все. ещё",2.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Приезжаем третий раз к доктору Болдыреву, есть положительные изменения в речи и поведении ребёнка, на приеме каждый раз узи мозга, смотрим динамику, назначения все по делу, ничего лишнего. Персонал очень отзывчивый!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Благодарю врачей и всех сотрудников медицинского центра за помощь, отзывчивость и семейное и тёплое отношение. Сама наблюдалась у Болдырева В.Г. До беременности. Когда узнала, что в положении , доктор посоветовал пройти процедуры в камере гипербарической оксигенации, чтобы избежать внутритутрбной гипоксии плода ( о ее последствиях можно прочитать в интернете или спросить у доктора). У меня был жуткий токсикоз и после первого сеанса в камере - мне стало значительно легче!)) Благодаря процедурам в камере всю беременность был хороший и крепкий сон. И по узи гинеколог всегда радовала прекрасными показателями малышки! Сами процедуры проходили максимально комфортно, медсестра или доктор всегда находились со мной. Камера современная, я брала с собой телефон и слушала расслабляющую музыку. Благодаря тому, что мы решились пройти процедуры кислородотерапии, наш малыш быстро восстановился после родов. Планируем ещё и с малышкой ходить и дышать кислородом! Спасибо медицинскому центру доктора Болдырева! Успехов и здоровья всем врачам и коллективу! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Проходили лечение у Болдырева, нетактичен после последнего приема поняла, что больше не полетим в эту клинику. Что назначил в последний раз было противопоказано.",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Хочу выразить огромную благодарность всему коллективу центра, и в частности, Болдыреву Владимиру Геннадьевичу за неравнодушие и профессиональный подход к лечению. Обратилась в октябре 2021 года с жалобами на непрекращающиеся головные боли и прерывистый сон. Врач внимательно выслушал, сделал УЗИ, по результатам которого назначил лечение и направил на процедуру кислородотерапии. Результатом я осталась очень довольна, прошла курс из 10 сеансов в барокамере и заметила значительные улучшения. Сон нормализовался, ушла тревожность, будто стала яснее мыслить. Обязательно еще раз пройду данный курс и с удовольствием приду на прием. Владимир Геннадьевич - врач с большой буквы, который искренне нацелен на помощь своим пациентам! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Врач и диагност с большой буквы. Рекомендую всем и всегда. Подбирает грамотное индивидуальное лечение, современное оборудование, корректный подход! Центр расширяется! Диагностический центр чистый. Красивый. Сам Врач Владимир Геннадьевич от Бога.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Мы клиенты данного центра,уже не первый год выбираем. Нравится,что приём плюс уздг...и дальнейшем в динамике можно смотреть...и не нужно отдельно где то проходить. Оч классно, доктор Болдырев всегда отвечает на все интересующие вопросы,чётко и понятно",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Спасибо Владимиру Геннадьевичу и всем сотрудникам. Посещаем центр уже несколько лет. Нам назначения Владимира Геннадьевича помогают. Ребенок меняется в лучшую сторону.,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Доктор Болдырев - уникальный, талантливый человек. Я бы сказал даже фей. Печально, что в районных поликлиниках таких специалистов нет. Для меня настоящее Болдырев - открытие, и рад, что мы не опоздали с диагностикой и лечением. Другие узисты, а мы их за 10 лет прошли кучу, и рядом не стояли с данным специалистом. Болдыревым был поставлен диагноз, чего категорически не делали узисты из районной поликлиники, как будто боялись чего-то. ""Идите к психиатру, он поставит диагноз, я не могу, я только диагностику делаю"". Мы пошли, не вопрос. Но психиатр узи головного мозга не делает. В общем, каждому свой доктор, парикмахер и адвокат. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Уникальный центр , уникальная методика . Пока не вижу альтернативных по лечению детей с ОВЗ.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Посещаем медицинский центр с самого открытия. Хочется выразить огромную благодарность всему персоналу мед. центра за высокий уровень сервиса, профессионализм, внимательное отношение не только к маленьким пациентам, но и к их родителям. Спасибо. Низкий Вам поклон за Ваш труд и отношение к людям! Владимир Геннадиевич замечательный доктор. Спасибо всем. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Тоже захотелось оставить отзыв, наблюдаемся у Владимира Геннадьевича уже 2 года, регулярно видим прогресс в развитии, нормализовался сон, появилось подражание, улучшилось понимание обращенной речи (разумеется в комплексе с занятиями) и еще много всего, врач от Бога 🫶🏻 каждый раз с нетерпением жду приема 🌸",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"В центр попали по совету, тк таких центров и специалистов в Москве мало. Клиентоориентированы, специалисты высокого уровня",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Очень хороший доктор,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Хорошая клиника!,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"При возникновения проблемы, врач уделено не помог. Хотя обещали дистанцилную поддержку",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Лечим сыночка у этого доктора! Прогресс налицо. Сам доктор, как его персонал, всегда вежливы и учтивы. Атмосфера приятная. Да и знающие доктора специалисты отзываются о нем как о прекрасном специалисте!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Были у Валентина Павловича! Супер доктор! Очень компетентный врач. Если Вы ищете хорошего невролога,то Вам прямая дорога в МЦ доктора Болдырева. Всё расскажут,разъяснят,назначат нужное лечение. Все по полочкам разложат,никакой лишней воды!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Нас ведёт специалист Ступак Валентин Павлович, лечение потихоньку дает свои плоды, медленно, но верно пытаемся вывести ребенка до уровня. Всегда вежливый персонал, чистые кабинеты.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Великолепный доктор!! Владимир Геннадьевич всё объясняет внятно и если что-то не понятно, всегда разложит «по полочкам». Первый раз попали на прием в январе 2021, на повторном приеме, уже по обследованиям были видны хорошие изменения и я сама их заметила по ребенку. Так же в клинике есть процедуры кислородотерапии (ГБО), мы сейчас проходим эту терапию. Изменения чувствую даже я на себе ( так как с ребенком я нахожусь вместе в этой барокамере). Цена приема - стоит своего результата! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень хороший мед центр, сразу делают нужные обследования , грамотные врачи . Были у Ступак.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Владимир Геннадьевич внимательный, опытный врач, всегда назначает грамотный план реабилитации. Даже психиатр видя хорошую динамику у ребёнка интересуется мнением врача-невролога и не назначает другое лечение. После курса кислородотерапии прошло пару дней, а мой ребёнок уже спрашивает когда поедем в МЦ на лечение. Детям очень нравится доктор Болдырев, он всегда спокойный, доброжелательный. В медицинском центре всегда приятная, спокойная атмосфера. Спасибо всей команде МЦ Доктора Болдырева. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Отличный персонал. Доктор к себе располагает, наблюдаемся 1,5 года. Очень помог. Пришли к нему с тем, что ребёнок не говорил. Сейчас болтает не остановишь.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Была на приеме у этого « замечательного» врача с ребёнком. Ребёнку не задал не одного вопроса. Делая узи бормотал себе под нос , ничего не слышно и не понятно было что он вообще говорит. Спросил какие лекарства пили и после моего ответа сказал вы уже все лекарства пропили которые я бы Вам мог выписать зачем только пришли ко мне . Но это ещё цветочки. После того как он расписал лечение я спросила можем ли мы допринимать лекарства который нам выписал другой врач? Потому что оно уже куплено и открыто. Он взбесился, на повышенном тоне сказал что вы либо лечитесь у меня либо идёте к другому врачу. Сказал что за клиентов он не держится и если мы не будем у него наблюдаться он не очень расстроится. Сказал что у него много клиентов ( показывая на карты пациентов) и не смотря на высокую цену за его приём к нему идут люди. Сказал что нам решать будет ли у нас нормальный ребёнок или уйдёт в психиатрию. Такого хамского отношения за 6500 я не встречала. Жалко времени, и денег. И в итоге даже ничего не поняла что он там увидел по узи. Не объяснил что за лекарства и для чего они нужны. Даже спрашивать не стала ничего после его хамского отношения. ещё",1.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень понравилось. Валентин Павлович опытный врач, надеемся на дальнейшее сотрудничество и выздоровление внучки.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Внушает доверие. Посмотрим, что будет дальше.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"В данном центре находимся под наблюдением, терапия очень помогает, большое им спасибо!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Отличный специалист ступак Валентин Павлович.,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Про лечение пока сказать ничего не могу, это пока оценки за финансовые ""схемки"" этого заведения. Назначили курс из 10 сеансов. За каждый платить нельзя как во всех нормальных клиниках. Хотят сразу все хапнуть и не возвращать! Так при попытках задать вопросы на тему: а что если я вообще захочу отменить?... Начинается всякое вывертывание: да мы под вас забронировали, ....как будто в других клиниках так не делают. Затем вообще договорились, что в таком случае возвращают часть, т.к. первый сеанс волшебным образом становится в 2 раза дороже! В общем повод для налоговой поинтересоваться бухгалтерией. А остальным повод задуматься могут ли люди, которые давали клятву Гиппократа, быть так финансово нечестны! ещё",2.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Прекраснейший доктор! Специалист каких поискать ещё! За полтора года лечения сына добились больших успехов. Владимир Геннадьевич внимательный, все поясняет как и почему, ответит на тысячу и один вопрос чётко, понятно без спешки. Просто приятный человек и общий язык с сыном находит очень быстро. Рекомендуем эту клинику и желаем доктору здоровья, удачи и процветания!🙏",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень грамотные неврологи, грамотно работают с сосудистыми патологиями ГМ",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Прекрасный центр. Три года с доктором. Результаты👍,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень рекомендую доктора Болдырева. После назначенного лечения у ребенка явные улучшения. Лечение мы продолжаем, уверена будет отличный итоговый результат. Сам доктор очень внимательный, много времени уделяет пациенту на приеме, даже если мама задает кучу вопросов, терпеливо отвечает. Цена приема не маленькая, но результат того стоит. Рекомендую!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Замечательный невролог, долго искали хорошего врача, наблюдаем с сыном уже почти 2 года. Получили хорошие результаты",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Замечательный доктор, таких наверное единицы, на нашем пути первый. Назначения делаются на основании изменений в головном мозге, а не как обычно ""давайте попробуем это""....",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Замечательный доктор,наблюдаемся с дочерею не первый год,низкий поклон за профессионализм.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Отличная клиника,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Хорошие врачи,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Потрясающий специалист, который действительно помогает людям!!!!!!!!!!!!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Смущает, что лечение детям с неврологией прописывает одинаковое. Диакарб, Аспаркам, дибазол. Сравнивали выписки с другими родителями.",3.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Спасибо за помощь!,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Спасибо и низкий поклон доктору!!!!!!,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,Все супер! 🤝🏼,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,отличная клиника,5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Этот медицинский центр, лучшее, что мы видели в последнее время. Современное, усовершенствованное оборудование для обследований и процедур. Приятное, внимательное отношение мед.персонала, (с большим пониманием отнеслись к нашему, особенному, поведению). Доктор Болдырев В.Г., подобрал нам медикаментозную терапию, совмещаем с посещением барокамеры и эл.магнитов. Барокамера, в этом центре, заслуживает отдельного отзыва. Огромные стекла, удобное большое кресло, абсолютно никакого ощущения дискомфорта, несмотря на замкнутое пространство. Уже год мы пациенты Болдырева В.Г. Прогресс есть, это регулярно подтверждается доктором на обследовании (УЗИ, ЭЭГ), после прохождения курса процедур и назначений. Мы очень рады что пришли, по рекомендации, и доверились Владимиру Геннадьевичу, его видение нашей ситуации, и подход, к улучшению состояния здоровья детей с аутизмом, очень нас удивил. Ранее о подобных методах воздействия на головной мозг и ЦНС мы не слышали. Мы с Вашим центром надолго !)) Очень ценим, доверяем и рекомендуем. Спасибо! ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Очень приятные, вежливые и предусмотрительные сотрудники, легкая и мягкая обстановка в зоне ожидания, что для детей с ОВЗ является одним из немаловажных факторов в подготовке к приему у врача. Мы уже много лет наблюдаемся у Болдырева Владимира Геннадьевича, в нашем случае он был первым врачом, кто не «похоронил» ребенка, не стал «прятаться» за назначениями из клинических рекомендаций, а ответственно подошел к диагностике состояния и продолжает курировать лечение по сей день. Очень нравится деловой подход специалиста к родителям и поиск подхода его же к детям. ещё",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Редкий, крутейший и очень ответственный специалист. Видно что Владимир Геннадьевич и вся его команда преданы своему делу и помогают деткам и их родителям вернуть полноценную и достойную жизнь не смотря на тяжёлые удары судьбы. Низкий поклон и огромное спасибо за вашу работу.",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Хочу выразить свою благодарность Болдыреву Владимиру Геннадьевичу! Очень грамотный специалист! Очень внимательно отнесся к моей проблеме, провел тщательный осмотр , все четко и грамотно мне объяснил, буду приходить еще на приемы!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Уже более пяти лет посещаем врача Владимира Геннадьевича Болдырева. Моему сыну очень помог, спасибо Вам большое!!!",5.0
Медицинский центр доктора Болдырева,https://yandex.ru/maps/org/meditsinskiy_tsentr_doktora_boldyreva/112675622896/reviews,"Мы долго искали своего доктора , перебирали многих врачей . Хочу выразить признательность Владимиру Геннадьевичу за то, что не побоялся взять моего сына , хотя ребенок очень сложный . Считаю , что профессионализм врача заключается в том , что взять и не побояться ответственности , где казалось бы надежды нет. Лечение наше длится уже второй год и после второго курса реабилитации у ребенка произошел очень хороший скачок , дальше будет только лучше. ещё",5.0
